#date: 2025-06-29_09:05
#sample: GCF_000005845.2_ASM584v2_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.16.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,IS609,,predicted,insertion sequence,1748,,0,0.977,1.0,0,41,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",1503161,1504908,M1748
2,ISKpn8,,predicted,insertion sequence,1443,,0,0.947,1.0,0,76,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",3720633,3722075,M1443
3,IS4,,predicted,insertion sequence,1426,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",4502090,4503515,M1426
4,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",4498181,4499511,M1331
5,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",3186096,3187426,M1331
6,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",1467910,1469240,M1331
7,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",2068941,2070271,M1331
8,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",2996361,2997691,M1331
9,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,1.0,1.0,0,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",381260,382590,M1331
10,IS421,IS186,predicted,insertion sequence,1339,,0,0.998,0.998,3,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",2514276,2515614,M219 I3 M1120
11,IS421,IS186,predicted,insertion sequence,1339,,0,0.998,0.998,3,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",608010,609348,M219 I3 M1120
12,IS421,IS186,predicted,insertion sequence,1339,,0,0.998,0.998,3,0,"NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome",15390,16728,M219 I3 M1120
